ID,title,score,director,release,genre,subgenre,platform
3605,Open Water 2: Adrift,59,,2007,,,Hulu
3606,Priceless,59,,2016,,,Hulu
3607,Priceless,59,Pierre Salvadori,2008,,,Amazon Prime
3608,False Positive,59,,2021,,,Hulu
3609,The Osiris Child,59,,2017,,,Hulu
3610,The Doorman,59,,2020,,,Hulu
3611,Almost Adults,59,,2016,,,Hulu
3612,The Final Member,59,,2014,,,Hulu
3613,Neil Young: Heart of Gold,59,,2006,,,Hulu
3614,Getting Go: The Go Doc Project,59,,2013,,,Hulu
3615,Getting Go: The Go Doc Project,59,Cory Krueckeberg,2014,,,Amazon Prime
3616,28 Hotel Rooms,59,,2013,,,Hulu
3617,Maze,58,,2017,,,Hulu
3618,Maze,58,Stephen Burke,2019,,,Amazon Prime
3619,Bull,58,,2019,,,Hulu
3620,Bad Hair,58,,2020,,,Hulu
3621,Little Joe,58,,2019,,,Hulu
3622,The Orange Years: The Nickelodeon Story,58,,2018,,,Hulu
3623,The Fight,58,,2020,,,Hulu
3624,The Mandela Effect,58,,2019,,,Hulu
3625,The Mandela Effect,58,David Guy Levy,2019,,,Amazon Prime
3626,The Ladies Man,58,Jerry Lewis,1961,,,Amazon Prime
3627,Crypto,58,,2019,,,Hulu
3628,A Score to Settle,58,,2019,,,Hulu
3629,WolfCop,58,,2014,,,Hulu
3630,The Owners,58,,2020,,,Hulu
3631,The Sweet Life,58,,2016,,,Hulu
3632,The Panama Papers,58,"Director Alex Winter goes inside the biggest global corruption scandal in history that was uncovered by hundreds of journalists, working in secret and at enormous risk.",2018,,,Hulu
3633,Vita & Virginia,58,,2019,,,Hulu
3634,The 10 Year Plan,58,,2015,,,Hulu
3635,A Kind of Murder,58,Andy Goddard,2016,,,Netflix
3636,A Kind of Murder,58,,2016,,,Hulu
3637,Suburban Gothic,58,,2015,,,Hulu
3638,The Hornet's Nest,58,,2014,,,Hulu
3639,The Hornet's Nest,58,"Christian Tureaud, David Salzberg",2014,,,Amazon Prime
3640,Welcome Home Roscoe Jenkins,58,Malcolm D. Lee,2008,,,Netflix
3641,The Other Man,58,,2008,,,Hulu
3642,The Other Lamb,58,,2019,,,Hulu
3643,The Houses October Built,58,,2014,,,Hulu
3644,Ozzy,58,,2016,,,Hulu
3645,Once Were Brothers: Robbie Robertson and The Band,58,,2019,,,Hulu
3646,Digging for Fire,58,,2015,,,Hulu
3647,A Glitch in the Matrix,58,,2021,,,Hulu
3648,Good Deeds,57,,2012,,,Hulu
3649,The Face of Love,57,,2013,,,Hulu
3650,Stonewall,57,,2016,,,Hulu
3651,Stonewall,57,Nigel Finch,1997,,,Amazon Prime
3652,Hello I Must Be Going,57,,2012,,,Hulu
3653,Racer and the Jailbird,57,,2017,,,Hulu
3654,Henry Gamble's Birthday Party,57,,2015,,,Hulu
3655,Non-Fiction,57,,2019,,,Hulu
3656,100 Streets,57,,2016,,,Hulu
3657,100 Streets,57,Jim O'Hanlon,2017,,,Amazon Prime
3658,Zoom,57,Peter Hewitt,2006,,,Netflix
3659,Body Cam,57,,2020,,,Hulu
3660,Above the Shadows,57,,2019,,,Hulu
3661,Where Hope Grows,57,,2015,,,Hulu
3662,Buddy Games,57,,2020,,,Hulu
3663,XX,57,"Jovanka Vuckovic, Annie Clark, Roxanne Benjamin, Karyn Kusama",2017,,,Netflix
3664,XX,57,,2017,,,Hulu
3665,Rebuilding Paradise,57,,2020,,,Hulu
3666,Let the Sunshine In,57,,2017,,,Hulu
3667,Above and Beyond,57,,2014,,,Hulu
3668,Valley Girl,57,,2020,,,Hulu
3669,The Feels,57,Jenée LaMarque,2018,,,Netflix
3670,The Feels,57,,2017,,,Hulu
3671,My Little Pony: The Princess Promenade,57,,2006,,,Hulu
3672,Someone Marry Barry,57,,2014,,,Hulu
3673,Rogue,57,,2020,,,Hulu
3674,Damsel,57,,2018,,,Hulu
3675,I Declare War,57,,2014,,,Hulu
3676,Shelley,56,,2016,,,Hulu
3677,Superpower Dogs,56,,2019,,,Hulu
3678,Diane,56,,2018,,,Hulu
3679,Ben 10: Secret of the Omnitrix,56,,2007,,,Hulu
3680,Judy & Punch,56,,2019,,,Hulu
3681,Frankenstein and the Monster from Hell,56,,1974,,,Hulu
3682,Digging Up the Marrow,56,,2015,,,Hulu
3683,Knuckleball!,56,,2012,,,Hulu
3684,Sordid Lives,56,,2000,,,Hulu
3685,Monsters and Men,56,,2018,,,Hulu
3686,Sea of Shadows,56,,2019,,,Hulu
3687,Bad Reputation,56,,2018,,,Hulu
3688,Bad Reputation,56,Jim Hemphill,2005,,,Amazon Prime
3689,Carnage Park,56,,2016,,,Hulu
3690,Sex Ed,56,,2014,,,Hulu
3691,Sex Ed,56,Isaac Feder,2014,,,Amazon Prime
3692,Skin: A History of Nudity in the Movies,56,,2020,,,Hulu
3693,Getaway,56,,2013,,,Hulu
3694,A Nice Girl Like You,56,,2020,,,Hulu
3695,Vault,56,,2019,,,Hulu
3696,Obey Giant,56,,2017,,,Hulu
3697,Nina,56,,2016,,,Hulu
3698,Just Charlie,56,,2018,,,Hulu
3699,Just Charlie,56,Rebekah Fortune,2018,,,Amazon Prime
3700,Dark Web: Cicada 3301,56,,2021,,,Hulu
3701,Gemini,55,P.K. Baaburaaj,2018,,,Netflix
3702,Gemini,55,,2017,,,Hulu
3703,Robert the Bruce,55,,2019,,,Hulu
3704,Breaking Fast,55,,2020,,,Hulu
3705,Amira & Sam,55,,2015,,,Hulu
3706,Amulet,55,,2020,,,Hulu
3707,Liz in September,55,,2014,,,Hulu
3708,Donnybrook,55,,2018,,,Hulu
3709,The Devil's Doorway,55,,2018,,,Hulu
3710,An Acceptable Loss,55,,2019,,,Hulu
3711,Take Every Wave: The Life of Laird Hamilton,55,,2017,,,Hulu
3712,Notturno,55,,2020,,,Hulu
3713,Pokémon the Movie: Hoopa and the Clash of Ages,55,,2015,,,Hulu
3714,Fun in Acapulco,55,,1963,,,Hulu
3715,Pledge,55,,2018,,,Hulu
3716,Exit Plan,55,,2020,,,Hulu
3717,Sheep & Wolves,55,"Maxim Volkov, Andrey Galat",2018,,,Amazon Prime
3718,Centigrade,55,,2020,,,Hulu
3719,A Nasty Piece of Work,55,,2019,,,Hulu
3720,Legion of Brothers,55,,2017,,,Hulu
3721,Wounds,55,,2019,,,Hulu
3722,Hooking Up,55,,2020,,,Hulu
3723,Wolves,55,Bart Freundlich,2016,,,Netflix
3724,Wolves,55,David Hayter,2014,,,Amazon Prime
3725,"Nico, 1988",55,,2017,,,Hulu
3726,Star Kid,55,Manny Coto,1998,,,Amazon Prime
3727,Follow Me,55,Asri Bendacha,2017,,,Netflix
3728,American Gun,55,,2005,,,Hulu
3729,The Tomorrow Man,54,,2019,,,Hulu
3730,Almost Human,54,,2014,,,Hulu
3731,Premature,54,,2019,,,Hulu
3732,Let's Be Evil,54,,2016,,,Hulu
3733,Big Men,54,,2013,,,Hulu
3734,Black and White,54,James Toback,2000,,,Amazon Prime
3735,Journey to the South Pacific,54,,2013,,,Hulu
3736,The Dinner,54,,2017,,,Hulu
3737,Eating Animals,54,,2017,,,Hulu
3738,Into the Ashes,54,,2019,,,Hulu
3739,Just Eat It: A Food Waste Story,54,,2014,,,Hulu
3740,Chasing Trane,54,John Scheinfeld,2016,,,Netflix
3741,Rabid Dogs,54,,2015,,,Hulu
3742,AWOL,54,,2017,,,Hulu
3743,The Night Watchmen,54,,2017,,,Hulu
3744,Cabin Fever: Patient Zero,54,,2014,,,Hulu
3745,Pit Stop,54,,2013,,,Hulu
3746,Pit Stop,54,Yen Tan,2014,,,Amazon Prime
3747,Meeting Gorbachev,54,,2018,,,Hulu
3748,We Die Young,54,,2019,,,Hulu
3749,Killers Anonymous,54,,2019,,,Hulu
3750,Ask Dr. Ruth,54,,2019,,,Hulu
3751,Intersect,53,,2020,,,Hulu
3752,Intersect,53,Gus Holwerda,2020,,,Amazon Prime
3753,Depraved,53,,2019,,,Hulu
3754,Mary,53,,2019,,,Hulu
3755,Trick,53,,2019,,,Hulu
3756,Passage to Mars,53,,2016,,,Hulu
3757,Lucky Day,53,,2019,,,Hulu
3758,Radioflash,53,,2019,,,Hulu
3759,The Boy Downstairs,53,,2018,,,Hulu
3760,Disappearance at Clifton Hill,53,,2019,,,Hulu
3761,The Big Ugly,53,,2020,,,Hulu
3762,I Met a Girl,53,,2020,,,Hulu
3763,Mapplethorpe,53,,2018,,,Hulu
3764,Dragonheart: Battle for the Heartfire,53,Patrik Syversen,2017,,,Netflix
3765,35 and Ticking,53,,2011,,,Hulu
3766,Billie,53,,2019,,,Hulu
